email;ICO;nazov firmy;popis_firmy;telefon;adresa
kancelaria@magna.org;36061581;MAGNA;Providing medical and social assistance to children and their families in crisis areas around the world. Humanitarian projects.;238104669;Štefánikova 19, 81105 Bratislava;
senecio@senecio.sk;36077518;Dom sociálnych služieb Senecio n.o.;Care for adults and seniors with adverse health conditions.;;Na Grbe 2, 84107 Bratislava
info@usmev.sk;17316537;Spoločnosť priateľov detí z detských domovov Úsmev ako dar;Non-governmental organization for the support of children living in children's homes.;263815208;Ševčenkova 21, 85101 Bratislava
barbora.sekelska(zavináč)notabene.sk;36068781;Proti prúdu;Help and integration of homeless people into society.;252625962;Karpatská 10, 81101 Bratislava
cpf@changenet.sk;31821871;Centrum pre filantropiu, n.o.;Development of donation in Slovakia, implementation of charitable goals.;254644682;Kozia 11, 81103 Bratislava
info@unicef.sk;52147908;Slovenská nadácia pre UNICEF;Specialized UN agency for helping children. Operation of the children's safety hotline.;903770418;Michalská 371/7, 81101 Bratislava
zelajsi@zelajsi.sk;30801176;Želaj si;Non-profit organization fulfilling the secret dreams and wishes of long-term sick children.;;Záhradnícka 18, 90028 Ivanka pri Dunaji
nadejprehaiti@gmail.com;42025940;NÁDEJ PRE HAITI;Non-profit organization, which was founded on the initiative of Father Augustín Vrecko, who spent 20 years as a missionary in Haiti.;3227735166;Pekná cesta 2560/27, 83152 Bratislava
hrl@hrl.sk;31807968;Liga za ľudské práva;Civic association providing free legal aid to asylum seekers and asylum seekers in Slovakia.;918682457;Račianska 80, 83102 Bratislava
naruczachrany@naruczachrany.sk;30856515;NÁRUČ Senior & Junior;Providing assistance to abandoned children and seniors.;903903298;Fedákova 5, 84102 Bratislava
info@cervenynos.sk;30855748;ČERVENÝ NOS Clowndoctors;Association of professional medical clowns. Support for the mental well-being of children in the hospital environment.;220570788;Klenová 8, 83101 Bratislava
info@clovekvohrozeni.sk;50082001;Človek v ohrození, n.o.;Non-profit non-governmental organization focused on helping people in crisis areas of the world.;255422254;Baštová 343/5, 81103 Bratislava
;31781373;Domov pre každého - občianske združenie na podporu a hmotné zaopatrenie ľudí bez domova v SR;Civic association focused on the support and material provision of homeless people.;915849925;Stará Vajnorská 92, 83104 Bratislava
tvrdonova@dakujeme.sk;31808549;Občianske združenie WellGiving;Development of philanthropy in Slovakia. Donor portal.;949428239;Partizánska 3, 81103 Bratislava
martina@dakujeme.sk;31808549;Občianske združenie WellGiving;Development of philanthropy in Slovakia. Donor portal.;907720851;Partizánska 3, 81103 Bratislava
kamila@dakujeme.sk;31808549;Občianske združenie WellGiving;Development of philanthropy in Slovakia. Donor portal.;948064306;Partizánska 3, 81103 Bratislava
shr@shr.sk;17316014;Slovenská humanitná rada;National volunteer center of humanitarian and charitable organizations, civic associations and foundations.;250200500;Budyšínska 1, 83103 Bratislava
kontakt@dobrovolnictvo.sk;30849446;CARDO - Národné dobrovoľnícke centrum;Operation of the volunteer portal. Development of volunteering in Slovakia and abroad.;918987479;Tomašikova 3A, 82101 Bratislava
office@adra.sk;30804850;ADRA - Adventistická agentúra pre pomoc a rozvoj - Občianske združenie;Humanitarian organization of the Seventh-day Adventist Church focused on helping in the social sphere.;910852216;Cablkova 3, 82104 Bratislava
dfsr@dfsr.sk;679755;Detský fond Slovenskej republiky;Independent non-governmental organization with the aim of protecting the rights of children.;243634354;Stavbárska 38, 82107 Bratislava
recepcia@centrummemory.sk;31821791;Centrum MEMORY n.o.;Social services through a specialized day stay for people with Alzheimer's disease.;262414143;Mlynarovičova 21, 85103 Bratislava
info@ludialudom.sk;42166683;ĽUDIA ĽUĎOM, n.o.;Promotion of charity and donation in the interest of the Internet community.;235000567;Borská 6, 84104 Bratislava
domovduha@domovduha.sk;30854865;DOMOV - DÚHA;Provision of social services including accommodation. Crisis center for neglected, abused and abused children and mothers.;245523077;Stavbárska 6, 82107 Bratislava
adriana@vianocnybazarchalanov.sk;42256551;Bazár chalaňov, o.z.;Christmas bazaar - a charitable project created to provide material assistance to the weaker.;;Dobrovského 6, 81108 Bratislava
